  
 ------------------------------------------------------------
         COND_ID           P_ID        E_RATIO        S_RATIO
        4.000000       1.000000       0.023146       0.016783
        4.000000       1.000000       0.022249       0.016561
        4.000000       1.000000       0.017257       0.024611
        4.000000       1.000000       0.023171       0.016598
        4.000000       1.000000       0.022141       0.025063
        4.000000       1.000000       0.024063       0.024733
        4.000000       1.000000       0.015896       0.016316
        4.000000       1.000000       0.021730       0.016690
        4.000000       1.000000       0.022992       0.024938
        4.000000       1.000000       0.025392       0.024606
        4.000000       1.000000       0.019500       0.016316
        4.000000       1.000000       0.021120       0.016672
        4.000000       1.000000       0.027979       0.016561
        4.000000       1.000000       0.030626       0.023735
        4.000000       1.000000       0.021025       0.016672
        4.000000       1.000000       0.019005       0.016653
        4.000000       1.000000       0.020287       0.016598
        4.000000       1.000000       0.018053       0.024815
        4.000000       1.000000       0.018390       0.016653
        4.000000       1.000000       0.017452       0.024606
        4.000000       1.000000       0.021098       0.025269
        4.000000       1.000000       0.019049       0.025105
        4.000000       1.000000       0.025847       0.024647
        4.000000       1.000000       0.018210       0.025104
        4.000000       1.000000       0.020969       0.016875
        4.000000       1.000000       0.021771       0.016653
        4.000000       1.000000       0.017568       0.016764
        4.000000       1.000000       0.021633       0.025105
        4.000000       1.000000       0.023469       0.025021
        4.000000       1.000000       0.020092       0.024938
        4.000000       1.000000       0.022769       0.016393
        4.000000       1.000000       0.022950       0.016653
        4.000000       1.000000       0.023579       0.025104
        4.000000       1.000000       0.015956       0.025476
        4.000000       1.000000       0.018592       0.023326
        4.000000       1.000000       0.028175       0.016764
        4.000000       1.000000       0.018558       0.023735
        4.000000       1.000000       0.018216       0.015634
        4.000000       1.000000       0.024339       0.015634
        4.000000       1.000000       0.016739       0.024980
        4.000000       1.000000       0.013936       0.024897
        4.000000       1.000000       0.017257       0.016764
        4.000000       1.000000       0.020725       0.024815
        4.000000       1.000000       0.019675       0.025021
        4.000000       1.000000       0.021210       0.016747
        4.000000       1.000000       0.018251       0.016561
        4.000000       2.000000       0.018230       0.017709
        4.000000       2.000000       0.026830       0.017650
        4.000000       2.000000       0.021298       0.017314
        4.000000       2.000000       0.020499       0.017314
        4.000000       2.000000       0.018502       0.017035
        4.000000       2.000000       0.024490       0.026432
        4.000000       2.000000       0.017907       0.025248
        4.000000       2.000000       0.015731       0.017650
        4.000000       2.000000       0.021180       0.026432
        4.000000       2.000000       0.023357       0.026651
        4.000000       2.000000       0.021836       0.026255
        4.000000       2.000000       0.017687       0.017808
