conceptID,term,Type,MTurk_E,MTurk_P,MTurk_A,US_E,US_P,US_A,org_E,org_P,org_A
679,sexually_proposition,Behaviors,-.222,.18825001,.26875001,-.21204513,.22413792,.093851157,-1.12,1,.5
2223,sexy,Modifiers,.49331683,.51163363,.228,.53575909,.59195399,.17152107,1.86,2.28,.74000001
680,shaft,Behaviors,-.69119316,.17155172,.29942527,-.5734002,.14655171,.22006474,-2.5599999,.73000002,.88999999
681,shake_hands_with,Behaviors,.50563723,.34656861,.1127451,.62860727,.4195402,.019417506,2.23,1.6799999,.27000001
2224,shaken,Modifiers,-.58014703,-.42941177,.078186274,-.34504387,-.26724139,.067961186,-1.65,-.70999998,.41999999
2225,shallow,Modifiers,-.58543956,-.36236262,-.050833333,-.47051442,-.46551725,-.029126188,-2.1500001,-1.4,.12
682,shame,Behaviors,-.65173268,-.016584158,.27450496,-.58845663,.11206896,.14886734,-2.6199999,.61000001,.67000002
683,share_something_with,Behaviors,.70528847,.49014422,.11586539,.70388961,.54022986,-.064724892,2.53,2.0999999,.0099999998
1531,sheet_metal_worker,Identities,.33640775,.18592232,.44004855,.29736513,.02586206,.30420715,.91000003,.31,1.15
1532,sheriff,Identities,.42354369,.65533978,.43058252,.33751571,.63218391,.27831718,1.0700001,2.4200001,1.0700001
684,shield,Behaviors,.61829895,.58273196,.3662371,.66373897,.73563218,.29126215,2.3699999,2.78,1.11
1533,ship_captain,Identities,.47,.56449997,.37,.54328734,.66666663,.40776703,1.89,2.54,1.47
1534,ship_engineer,Identities,.38988763,.3994382,.28636363,.47553325,.49137929,.055016205,1.62,1.9299999,.38
685,shock,Behaviors,-.24068627,.28112745,.48406863,-.1041405,.35057473,.51132685,-.69,1.4400001,1.79
2226,shocked,Modifiers,-.19086538,-.084615387,.20456731,-.046424069,.091954023,.29773465,-.46000001,.54000002,1.13
1535,shoe_repairman,Identities,.39876238,.024999999,.094801977,.44291094,-.020114949,-.2135922,1.49,.15000001,-.44999999
2227,shook_up,Modifiers,-.47236842,-.33605263,.19052632,-.40025091,-.21551724,.13915859,-1.87,-.52999997,.63999999
686,shoot,Behaviors,-.76450002,.40274999,.74250001,-.83437884,.32183909,.92556632,-3.5999999,1.34,3.0699999
1536,shop_clerk,Identities,.25661764,-.11887255,.15588236,.3877039,-.1724138,-.035598677,1.27,-.38,.1
1537,shopkeeper,Identities,.27764422,.15192308,.25120193,.35759097,.0086206812,.0032362717,1.15,.25,.22
