Month,Day,Year,Temp
5,7,1996,51.2
5,8,1996,59.8
5,9,1996,69
5,10,1996,72.9
5,11,1996,54.2
5,12,1996,44.4
5,13,1996,43.6
5,14,1996,49
5,15,1996,53.5
5,16,1996,64.6
5,17,1996,71.2
5,18,1996,75.9
5,19,1996,77.9
5,20,1996,77.8
5,21,1996,72.2
5,22,1996,67.6
5,23,1996,65.9
5,24,1996,60.2
5,25,1996,58
5,26,1996,56.3
5,27,1996,53.6
5,28,1996,55.1
5,29,1996,59.9
5,30,1996,55.4
5,31,1996,61
6,1,1996,61.6
6,2,1996,63.8
6,3,1996,63.5
6,4,1996,58.7
6,5,1996,59.2
6,6,1996,63.5
6,7,1996,67.2
6,8,1996,63.2
6,9,1996,67.4
6,10,1996,65.9
6,11,1996,65.6
6,12,1996,66.1
6,13,1996,71.1
6,14,1996,73
6,15,1996,72
6,16,1996,73.4
6,17,1996,79.4
6,18,1996,76.5
6,19,1996,74.6
6,20,1996,72.2
6,21,1996,74.8
6,22,1996,78.8
6,23,1996,68.5
6,24,1996,80.6
6,25,1996,70.5
6,26,1996,67.5
6,27,1996,73
6,28,1996,78.4
6,29,1996,80.4
6,30,1996,81.6
7,1,1996,83
7,2,1996,79
7,3,1996,70.3
7,4,1996,66.9
7,5,1996,70.2
7,6,1996,74.7
7,7,1996,78.7
7,8,1996,73.6
7,9,1996,71.9
7,10,1996,64.7
7,11,1996,67.9
7,12,1996,74.2
7,13,1996,78.1
7,14,1996,76
7,15,1996,71.1
7,16,1996,73.6
7,17,1996,77.6
7,18,1996,74.6
7,19,1996,81.8
7,20,1996,69.9
7,21,1996,63.6
7,22,1996,62.1
7,23,1996,68.6
7,24,1996,73.1
7,25,1996,69.6
7,26,1996,69.3
7,27,1996,68.9
7,28,1996,72.4
7,29,1996,71.5
7,30,1996,70.6
7,31,1996,67.9
8,1,1996,68
8,2,1996,67.9
8,3,1996,71.1
8,4,1996,74.7
8,5,1996,75.3
8,6,1996,79.9
8,7,1996,81.5
8,8,1996,81.7
8,9,1996,70.2
8,10,1996,70.1
8,11,1996,69.8
8,12,1996,66.8
8,13,1996,69.5
8,14,1996,74.6
8,15,1996,74.1
8,16,1996,69.9
8,17,1996,68.8
8,18,1996,73.3
8,19,1996,75.3
8,20,1996,78.6
8,21,1996,77.9
8,22,1996,77.7
8,23,1996,78.6
8,24,1996,73.7
8,25,1996,71.1
8,26,1996,72.8
8,27,1996,73.9
8,28,1996,71.5
8,29,1996,72.1
8,30,1996,72.3
8,31,1996,69.6
9,1,1996,71.5
9,2,1996,72.4
9,3,1996,71.4
9,4,1996,71.9
